System	Type	pTM+ipTM	pDockQ	minShared	maxShared
mt11	AC	0.6192352702917008	0.16	0.33783783783783783	0.6944444444444444	
mt11	AC	0.47208689262478476	0.076	0.3108108108108108	0.71875	
mt11	AC	0.46108118630909123	0.068	0.30180180180180183	0.7127659574468085	
mt11	AC	0.43120058345046686	0.087	0.33783783783783783	0.7653061224489796	
mt11	AC	0.41820048943559895	0.103	0.35135135135135137	0.7222222222222222	
mt11	AC	0.3483200603734138	0.081	0.34234234234234234	0.7307692307692307	
mt11	AC	0.3454287042617604	0.055	0.28378378378378377	0.7325581395348837	
mt11	AC	0.30479067922974823	0.043	0.27927927927927926	0.7380952380952381	
mt11	AC	0.3001225141341549	0.046	0.3153153153153153	0.7608695652173914	
mt11	AC	0.2945979497214705	0.05	0.2882882882882883	0.7529411764705882	
mt11	AC	0.29012757483304663	0.048	0.3153153153153153	0.7368421052631579	
mt11	AC	0.2636244697121519	0.04	0.3108108108108108	0.7931034482758621	
mt11	AC	0.2614633060488144	0.061	0.36486486486486486	0.7941176470588235	
mt11	AC	0.26085404300695075	0.048	0.3918918918918919	0.7909090909090909	
mt11	AC	0.2580797001002067	0.046	0.38288288288288286	0.7798165137614679	
mt11	AC	0.25641754374345926	0.05	0.34234234234234234	0.76	
mt11	AC	0.24662154093833474	0.043	0.34684684684684686	0.7475728155339806	
mt11	AC	0.22135557813143614	0.044	0.20270270270270271	0.6338028169014085	
mt11	AC	0.20949481581700807	0.038	0.21621621621621623	0.6857142857142857	
mt11	AC	0.20881871760341902	0.055	0.16666666666666666	0.6607142857142857	
mt11	AC	0.20402218505581357	0.05	0.3153153153153153	0.7	
mt11	AC	0.19507168871862213	0.057	0.25675675675675674	0.6477272727272727	
mt11	AC	0.1891631500862991	0.022	0.07657657657657657	0.85	
mt11	AC	0.18782020398090704	0.05	0.4144144144144144	0.7540983606557377	
mt11	AC	0.1799528909140402	0.039	0.14414414414414414	0.7111111111111111	
mt11	AT	0.8535747402758207	0.636	0.6171171171171171	0.9716312056737588	
mt11	AT	0.8529336352844101	0.637	0.6396396396396397	0.9659863945578231	
mt11	AT	0.8528518751808187	0.63	0.6441441441441441	0.9662162162162162	
mt11	AT	0.8520236498364109	0.645	0.6351351351351351	0.9791666666666666	
mt11	AT	0.8512305345476887	0.637	0.6576576576576577	0.948051948051948	
mt11	AT	0.8505090900392249	0.639	0.6666666666666666	0.961038961038961	
mt11	AT	0.8504504212203734	0.627	0.6396396396396397	0.9342105263157895	
mt11	AT	0.849581062996524	0.653	0.6441441441441441	0.9794520547945206	
mt11	AT	0.8486390023593556	0.625	0.6306306306306306	0.9722222222222222	
mt11	AT	0.8485093513478053	0.63	0.6576576576576577	0.9733333333333334	
mt11	AT	0.8470709900184337	0.645	0.6396396396396397	0.9793103448275862	
mt11	AT	0.8464011221129578	0.618	0.6306306306306306	0.9395973154362416	
mt11	AT	0.8456713944502832	0.636	0.6261261261261262	0.972027972027972	
mt11	AT	0.8415042746330046	0.523	0.42792792792792794	0.979381443298969	
mt11	AT	0.8405007870540196	0.603	0.6126126126126126	0.9714285714285714	
mt11	AT	0.8343362207337337	0.644	0.6531531531531531	0.9863945578231292	
mt11	AT	0.8338260729068967	0.538	0.5675675675675675	0.9767441860465116	
mt11	AT	0.80303622609052	0.268	0.24324324324324326	0.9818181818181818	
mt11	AT	0.8015848968629965	0.493	0.527027027027027	0.9669421487603306	
mt11	AT	0.8005834806449489	0.254	0.21171171171171171	0.9791666666666666	
mt11	AT	0.7897855962666877	0.232	0.32882882882882886	0.9864864864864865	
mt11	AT	0.7828485330974335	0.215	0.3153153153153153	0.9859154929577465	
mt11	AT	0.7679796474724541	0.268	0.2072072072072072	0.9787234042553191	
mt11	AT	0.7666602498162762	0.21	0.25225225225225223	0.9824561403508771	
mt11	AT	0.7581287582700604	0.246	0.21171171171171171	0.9791666666666666	
mt11	ATC	0.5889586497621115				
mt11	ATC	0.5451761654198225				
mt11	ATC	0.5434639141862627				
mt11	ATC	0.5432476074616824				
mt11	ATC	0.5367899603044415				
mt11	ATC	0.5346294777217733				
mt11	ATC	0.534148511205808				
mt11	ATC	0.5322058388570589				
mt11	ATC	0.53200071632376				
mt11	ATC	0.5298758291251308				
mt11	ATC	0.5279482880428263				
mt11	ATC	0.47868074482536016				
mt11	ATC	0.4612899166735254				
mt11	ATC	0.46004181711313985				
mt11	ATC	0.45932304246299993				
mt11	ATC	0.457894849186626				
mt11	ATC	0.4544350744838598				
mt11	ATC	0.45337971983927877				
mt11	ATC	0.4525166167198892				
mt11	ATC	0.4439374986388965				
mt11	ATC	0.4436429147651789				
mt11	ATC	0.4414121791233458				
mt11	ATC	0.4351645506003676				
mt11	ATC	0.42384076432121753				
mt11	ATC	0.4222850317174401				
mt11	TC	0.18109220968687711	0.031	0.04054054054054054	0.3333333333333333	
mt11	TC	0.17633362524577567	0.054	0.0	0.0	
mt11	TC	0.17502963977298974	0.024	0.03153153153153153	0.35	
mt11	TC	0.17460988656515664	0.021	0.0	0.0	
mt11	TC	0.17451702375330191	0.029	0.02252252252252252	0.2777777777777778	
mt11	TC	0.1738102349675412	0.12	0.08558558558558559	0.38	
mt11	TC	0.17344570733274303	0.091	0.04054054054054054	0.2571428571428571	
mt11	TC	0.17293231496952027	0.037	0.02702702702702703	0.24	
mt11	TC	0.17153697071730953	0.061	0.06306306306306306	0.3333333333333333	
mt11	TC	0.17023155322895833	0.024	0.04054054054054054	0.391304347826087	
mt11	TC	0.17020334309334356	0.023	0.013513513513513514	0.25	
mt11	TC	0.16999712941369716	0.029	0.018018018018018018	0.17391304347826086	
mt11	TC	0.16947489988191178	0.02	0.0	0.0	
mt11	TC	0.1690566553724114	0.022	0.0	0.0	
mt11	TC	0.16890342942105632	0.031	0.0	0.0	
mt11	TC	0.16879402992449488	0.025	0.03153153153153153	0.3684210526315789	
mt11	TC	0.16736742505238597	0.033	0.018018018018018018	0.17391304347826086	
mt11	TC	0.16729706658184218	0.032	0.018018018018018018	0.25	
mt11	TC	0.16504681388750184	0.024	0.0045045045045045045	0.06666666666666667	
mt11	TC	0.1624371988502685	0.019	0.0	0.0	
mt11	TC	0.1615599459399932	0.022	0.018018018018018018	0.26666666666666666	
mt11	TC	0.15992667074221023	0.03	0.02702702702702703	0.3333333333333333	
mt11	TC	0.1591289032497083	0.026	0.009009009009009009	0.1111111111111111	
mt11	TC	0.15817443420547972	0	0	0	
mt11	TC	0.15814206534437275	0.031	0.013513513513513514	0.15	
mt12	AC	0.34582399092423804	0.064	0.2857142857142857	0.7021276595744681	
mt12	AC	0.29603329441997117	0.13	0.3116883116883117	0.6101694915254238	
mt12	AC	0.28521695475011066	0.05	0.21645021645021645	0.6756756756756757	
mt12	AC	0.2682441975807055	0.06	0.3593073593073593	0.6335877862595419	
mt12	AC	0.2540661284201397	0.049	0.341991341991342	0.6752136752136753	
mt12	AC	0.2514132360043068	0.04	0.22510822510822512	0.6582278481012658	
mt12	AC	0.2488215226919726	0.035	0.18181818181818182	0.6461538461538462	
mt12	AC	0.247987613924756	0.039	0.2597402597402597	0.6976744186046512	
mt12	AC	0.2475732163060192	0.041	0.29004329004329005	0.6907216494845361	
mt12	AC	0.24458881737492869	0.039	0.2554112554112554	0.686046511627907	
mt12	AC	0.24358541350635649	0.035	0.16883116883116883	0.5652173913043478	
mt12	AC	0.24139376608480373	0.029	0.1774891774891775	0.6507936507936508	
mt12	AC	0.23349154513675216	0.037	0.2857142857142857	0.6804123711340206	
mt12	AC	0.2329239074349418	0.039	0.2987012987012987	0.6388888888888888	
mt12	AC	0.23171521452694827	0.034	0.20346320346320346	0.6103896103896104	
mt12	AC	0.22658629996279556	0.037	0.1774891774891775	0.6029411764705882	
mt12	AC	0.22254795001587416	0.034	0.2554112554112554	0.6483516483516484	
mt12	AC	0.2224699957279792	0.033	0.2077922077922078	0.6575342465753424	
mt12	AC	0.219576601020913	0.036	0.2554112554112554	0.6941176470588235	
mt12	AC	0.2130113304095118	0.039	0.22943722943722944	0.5888888888888889	
mt12	AC	0.19211992888130044	0.038	0.1774891774891775	0.6119402985074627	
mt12	AC	0.18702580893963167	0.041	0.2813852813852814	0.7471264367816092	
mt12	AC	0.18512655446655957	0.028	0.16017316017316016	0.6607142857142857	
mt12	AC	0.1836685468137897	0.043	0.14285714285714285	0.6470588235294118	
mt12	AC	0.1819306247531026	0.044	0.22077922077922077	0.68	
mt12	AT	0.7644155049102453	0.618	0.5844155844155844	0.9060402684563759	
mt12	AT	0.7593748405774221	0.648	0.42424242424242425	0.9514563106796117	
mt12	AT	0.7554469264817729	0.599	0.5627705627705628	0.9154929577464789	
mt12	AT	0.7531159543421198	0.616	0.5714285714285714	0.9361702127659575	
mt12	AT	0.7170154178444581	0.559	0.5844155844155844	0.9440559440559441	
mt12	AT	0.6971258006992989	0.239	0.31601731601731603	0.948051948051948	
mt12	AT	0.6965768181014258	0.207	0.3246753246753247	0.9868421052631579	
mt12	AT	0.6758715013822794	0.265	0.30735930735930733	0.9861111111111112	
mt12	AT	0.6658304476371945	0.257	0.3333333333333333	0.9746835443037974	
mt12	AT	0.6586686851615063	0.208	0.3246753246753247	0.974025974025974	
mt12	AT	0.656921045601849	0.3	0.31601731601731603	0.9733333333333334	
mt12	AT	0.6547411569014028	0.186	0.3722943722943723	0.9772727272727273	
mt12	AT	0.6532354949710221	0.256	0.329004329004329	0.9156626506024096	
mt12	AT	0.6316797940006463	0.251	0.3203463203463203	0.9866666666666667	
mt12	AT	0.6310861912038639	0.23	0.341991341991342	0.9753086419753086	
mt12	AT	0.5750532455099457	0.127	0.329004329004329	0.9743589743589743	
mt12	AT	0.5603905976694945	0.033	0.14285714285714285	0.9166666666666666	
mt12	AT	0.47988242070713305	0.101	0.43722943722943725	0.9439252336448598	
mt12	AT	0.47782116620596865	0.105	0.3852813852813853	0.967391304347826	
mt12	AT	0.45871190531955475	0.126	0.42857142857142855	0.9519230769230769	
mt12	AT	0.4306701524407506	0.072	0.2987012987012987	0.971830985915493	
mt12	AT	0.3958611657594806	0.074	0.30735930735930733	0.9861111111111112	
mt12	AT	0.3159355917983956	0.062	0.37662337662337664	0.9775280898876404	
mt12	AT	0.29176193989374805	0.07	0.29004329004329005	0.9852941176470589	
mt12	AT	0.22402569712984396	0.065	0.3246753246753247	0.9868421052631579	
mt12	ATC	0.5478524041520341				
mt12	ATC	0.530149578320697				
mt12	ATC	0.49642183278513086				
mt12	ATC	0.4363602448552318				
mt12	ATC	0.4129607493729108				
mt12	ATC	0.4122308733698037				
mt12	ATC	0.4105208433192908				
mt12	ATC	0.38922555345824006				
mt12	ATC	0.38436072065868054				
mt12	ATC	0.3692405129303601				
mt12	ATC	0.36630996382660236				
mt12	ATC	0.3657799292265739				
mt12	ATC	0.36054082008027266				
mt12	ATC	0.35982243147037085				
mt12	ATC	0.35924065405118943				
mt12	ATC	0.3510242520537961				
mt12	ATC	0.3420382588995511				
mt12	ATC	0.3369334959674122				
mt12	ATC	0.32255277764512863				
mt12	ATC	0.29346985521764796				
mt12	ATC	0.2759436646641484				
mt12	ATC	0.2391433263210499				
mt12	ATC	0.18863192298322354				
mt12	ATC	0.1868246662781895				
mt12	ATC	0.15528480701114936				
mt12	TC	0.24434632306811907	0.064	0.06493506493506493	0.36585365853658536	
mt12	TC	0.24327429772209122	0.073	0.07792207792207792	0.391304347826087	
mt12	TC	0.23142537685658332	0.064	0.06493506493506493	0.3409090909090909	
mt12	TC	0.2184468522315912	0.058	0.06060606060606061	0.358974358974359	
mt12	TC	0.209377708060874	0.062	0.09523809523809523	0.4489795918367347	
mt12	TC	0.2070071243017222	0.057	0.0735930735930736	0.4358974358974359	
mt12	TC	0.20617054889256806	0.058	0.0735930735930736	0.4358974358974359	
mt12	TC	0.2038845332003496	0	0	0	
mt12	TC	0.20288646550249365	0.038	0.047619047619047616	0.4230769230769231	
mt12	TC	0.2016685095666832	0.068	0.08225108225108226	0.4634146341463415	
mt12	TC	0.19914111807885992	0.048	0.06926406926406926	0.4444444444444444	
mt12	TC	0.19813471011996994	0.062	0.09090909090909091	0.45652173913043476	
mt12	TC	0.19576209736274075	0.038	0.03896103896103896	0.375	
mt12	TC	0.19394719454982728	0.041	0.05194805194805195	0.375	
mt12	TC	0.1930213010659585	0.042	0.06060606060606061	0.4827586206896552	
mt12	TC	0.1924303467036817	0.061	0.0735930735930736	0.4358974358974359	
mt12	TC	0.1897269268764187	0.177	0.1038961038961039	0.39344262295081966	
mt12	TC	0.18781050567372	0.042	0.06493506493506493	0.46875	
mt12	TC	0.18444217113323275	0.095	0.05627705627705628	0.23214285714285715	
mt12	TC	0.182868123745221	0.033	0.05627705627705628	0.40625	
mt12	TC	0.18274532543842809	0.047	0.06926406926406926	0.48484848484848486	
mt12	TC	0.1826439722039297	0.054	0.05194805194805195	0.25	
mt12	TC	0.17910054817399124	0.018	0.008658008658008658	0.6666666666666666	
mt12	TC	0.17830344426077388	0.053	0.06060606060606061	0.4117647058823529	
mt12	TC	0.17804095812238396	0.044	0.047619047619047616	0.36666666666666664	
mt13	AC	0.40813785575246136	0.066	0.3023255813953488	0.5591397849462365	
mt13	AC	0.38146943492788493	0.057	0.45930232558139533	0.6638655462184874	
mt13	AC	0.37689617450914426	0.043	0.3546511627906977	0.7176470588235294	
mt13	AC	0.3648507480555126	0.054	0.4418604651162791	0.6333333333333333	
mt13	AC	0.3512488579244038	0.042	0.313953488372093	0.6923076923076923	
mt13	AC	0.34774846024987394	0.162	0.5	0.5657894736842105	
mt13	AC	0.3427243557504031	0.042	0.27325581395348836	0.573170731707317	
mt13	AC	0.3368568111649284	0.074	0.37209302325581395	0.6037735849056604	
mt13	AC	0.3125082014236601	0.074	0.436046511627907	0.6410256410256411	
mt13	AC	0.3003998949901255	0.043	0.27325581395348836	0.573170731707317	
mt13	AC	0.2826048861124539	0.041	0.3488372093023256	0.7317073170731707	
mt13	AC	0.28078750384417256	0.046	0.32558139534883723	0.6222222222222222	
mt13	AC	0.2730974329052399	0.053	0.36627906976744184	0.63	
mt13	AC	0.26761701815005684	0.037	0.313953488372093	0.6585365853658537	
mt13	AC	0.25663366454319286	0.045	0.3546511627906977	0.648936170212766	
mt13	AC	0.24924962537591863	0.08	0.25	0.4673913043478261	
mt13	AC	0.24139689912643775	0.028	0.18604651162790697	0.6666666666666666	
mt13	AC	0.23887222998850902	0.051	0.31976744186046513	0.5851063829787234	
mt13	AC	0.23174959599177	0.049	0.3430232558139535	0.6413043478260869	
mt13	AC	0.2114050765809417	0.047	0.21511627906976744	0.5138888888888888	
mt13	AC	0.21038011134204718	0.032	0.18023255813953487	0.7380952380952381	
mt13	AC	0.20547375370052315	0.043	0.2441860465116279	0.5454545454545454	
mt13	AC	0.20405712035328757	0.035	0.23837209302325582	0.6612903225806451	
mt13	AC	0.18638177723354843	0.035	0.12209302325581395	0.5	
mt13	AC	0.18098940149195442	0.036	0.11627906976744186	0.4	
mt13	AT	0.8490900962224471	0.495	0.5465116279069767	0.7899159663865546	
mt13	AT	0.846503595738795	0.469	0.5755813953488372	0.7857142857142857	
mt13	AT	0.8436467646255702	0.38	0.5872093023255814	0.8416666666666667	
mt13	AT	0.8434198587605166	0.401	0.6337209302325582	0.7841726618705036	
mt13	AT	0.8433873720829248	0.494	0.5697674418604651	0.8376068376068376	
mt13	AT	0.8428770432021839	0.448	0.5232558139534884	0.7894736842105263	
mt13	AT	0.8418509236604286	0.451	0.6511627906976745	0.7887323943661971	
mt13	AT	0.8368578731678897	0.425	0.6395348837209303	0.7857142857142857	
mt13	AT	0.8360603243114274	0.317	0.5755813953488372	0.8918918918918919	
mt13	AT	0.8358208965535258	0.357	0.5813953488372093	0.7194244604316546	
mt13	AT	0.8355573184405134	0.432	0.5813953488372093	0.8130081300813008	
mt13	AT	0.8355487513783725	0.424	0.5988372093023255	0.7862595419847328	
mt13	AT	0.8352429002089661	0.413	0.5872093023255814	0.7372262773722628	
mt13	AT	0.8347913723031839	0.412	0.5348837209302325	0.7863247863247863	
mt13	AT	0.8347672943191579	0.468	0.563953488372093	0.7348484848484849	
mt13	AT	0.8333307433298927	0.429	0.563953488372093	0.8083333333333333	
mt13	AT	0.8309603794305084	0.328	0.5465116279069767	0.7580645161290323	
mt13	AT	0.8272156045515834	0.296	0.6395348837209303	0.7692307692307693	
mt13	AT	0.8203465275515978	0.341	0.5174418604651163	0.664179104477612	
mt13	AT	0.8185911057216873	0.393	0.5813953488372093	0.7246376811594203	
mt13	AT	0.8182617227038462	0.354	0.6162790697674418	0.7969924812030075	
mt13	AT	0.8165832553565757	0.28	0.5523255813953488	0.8050847457627118	
mt13	AT	0.815873415503928	0.349	0.5872093023255814	0.7890625	
mt13	AT	0.8124314890371717	0.334	0.5872093023255814	0.7890625	
mt13	AT	0.8114961459658145	0.278	0.5348837209302325	0.7540983606557377	
mt13	ATC	0.5693929614878754				
mt13	ATC	0.566793652176399				
mt13	ATC	0.555420808500101				
mt13	ATC	0.5533209240163087				
mt13	ATC	0.5532595331876978				
mt13	ATC	0.5472145063816769				
mt13	ATC	0.5453925258551139				
mt13	ATC	0.5437049417214037				
mt13	ATC	0.5426477500730477				
mt13	ATC	0.539691841823299				
mt13	ATC	0.5383545606043024				
mt13	ATC	0.5370426298527617				
mt13	ATC	0.5364539090562599				
mt13	ATC	0.528402373739616				
mt13	ATC	0.5259555151512638				
mt13	ATC	0.525878632584538				
mt13	ATC	0.5246652154317196				
mt13	ATC	0.5238640462243724				
mt13	ATC	0.521965646760129				
mt13	ATC	0.520065394414873				
mt13	ATC	0.5167457228523822				
mt13	ATC	0.5142273558693341				
mt13	ATC	0.5112059892052834				
mt13	ATC	0.5077537866094021				
mt13	ATC	0.504487474700237				
mt13	TC	0.3418564557846735	0.155	0.09302325581395349	0.5161290322580645	
mt13	TC	0.2579157708836492	0.117	0.09302325581395349	0.5161290322580645	
mt13	TC	0.2351716974783015	0.074	0.0755813953488372	0.52	
mt13	TC	0.22138726841517836	0.061	0.06395348837209303	0.5	
mt13	TC	0.21487843914496266	0.061	0.05232558139534884	0.4090909090909091	
mt13	TC	0.1966252041919218	0.061	0.029069767441860465	0.21739130434782608	
mt13	TC	0.1916154280762613	0.038	0.06395348837209303	0.5238095238095238	
mt13	TC	0.18483261622914565	0.021	0.01744186046511628	0.2727272727272727	
mt13	TC	0.1836440295957681	0.035	0.03488372093023256	0.3157894736842105	
mt13	TC	0.18066525508898615	0.019	0.011627906976744186	0.3333333333333333	
mt13	TC	0.17971798102413478	0.022	0.011627906976744186	0.25	
mt13	TC	0.1756728632150071	0	0	0	
mt13	TC	0.17522854768547189	0	0	0	
mt13	TC	0.17363760128626796	0.03	0.03488372093023256	0.5454545454545454	
mt13	TC	0.17202372967919785	0	0	0	
mt13	TC	0.1703489974292625	0.019	0.01744186046511628	0.6	
mt13	TC	0.16883850848715193	0.024	0.01744186046511628	0.2727272727272727	
mt13	TC	0.16826231075620435	0.023	0.005813953488372093	0.2	
mt13	TC	0.16819507293267522	0	0	0	
mt13	TC	0.16634120528186735	0	0	0	
mt13	TC	0.16287469187781997	0	0.005813953488372093	0.5	
mt13	TC	0.16231666329076697	0	0.0	0.0	
mt13	TC	0.16077421789122745	0	0	0	
mt13	TC	0.15995428640308743	0	0	0	
mt13	TC	0.1582823477531323	0	0	0	
mt14	AC	0.3496203456037427	0.042	0.14893617021276595	0.31343283582089554	
mt14	AC	0.31147384958781604	0.048	0.19148936170212766	0.375	
mt14	AC	0.2823459328087027	0.044	0.19148936170212766	0.421875	
mt14	AC	0.2721363755098417	0.044	0.1773049645390071	0.4166666666666667	
mt14	AC	0.2659537156326548	0.055	0.28368794326241137	0.49382716049382713	
mt14	AC	0.2646878573482166	0.041	0.14893617021276595	0.35	
mt14	AC	0.2628806131474394	0.035	0.2198581560283688	0.4025974025974026	
mt14	AC	0.2597748223459419	0.032	0.24822695035460993	0.4861111111111111	
mt14	AC	0.2526038830645949	0.034	0.14893617021276595	0.3442622950819672	
